variant,training_seed,node_index,outside_range_fraction,lower_violation_fraction,upper_violation_fraction,mean_violation
ekf_random,0,0,0.869,0.869,0.0,0.12803394875124427
ekf_random,0,1,0.842,0.842,0.0,0.13147258339428883
ekf_random,0,2,0.838,0.838,0.0,0.1327958155535713
ekf_random,0,3,0.839,0.839,0.0,0.13217400261345255
ekf_random,0,4,0.839,0.839,0.0,0.13219629919708387
ekf_random,0,5,0.858,0.858,0.0,0.12909041070179902
ekf_random,0,6,0.85,0.85,0.0,0.13253119448993503
ekf_random,0,7,0.949,0.949,0.0,0.12353146444425214
ekf_random,0,8,0.862,0.862,0.0,0.12876364891658285
ekf_random,0,9,0.862,0.862,0.0,0.12927384062138259
ekf_random,0,10,1.0,1.0,0.0,0.30000000000000565
ekf_random,0,11,0.956,0.956,0.0,0.12400149251893129
ekf_random,0,12,0.864,0.864,0.0,0.13034275797997008
ekf_random,0,13,0.955,0.955,0.0,0.12368872454962225
ekf_random,0,14,0.968,0.968,0.0,0.12193093514097654
ekf_random,0,15,0.903,0.903,0.0,0.12439468579566769
ekf_random,0,16,0.951,0.951,0.0,0.12534025660921497
ekf_random,0,17,0.836,0.836,0.0,0.13207337888843468
ekf_random,0,18,0.921,0.921,0.0,0.12595725795850643
ekf_random,0,19,1.0,1.0,0.0,0.2999964878358643
ekf_random,0,20,0.844,0.844,0.0,0.1311315086898645
ekf_random,0,21,0.936,0.936,0.0,0.12731641917230788
ekf_random,0,22,0.892,0.892,0.0,0.1257796665764211
ekf_random,0,23,0.921,0.921,0.0,0.12570267759582862
ekf_random,0,24,0.929,0.929,0.0,0.12364695181837314
ekf_random,0,25,0.896,0.896,0.0,0.12569236825767457
ekf_random,0,26,0.969,0.969,0.0,0.12080332924460369
ekf_random,0,27,0.836,0.836,0.0,0.13222776553528195
ekf_random,0,28,0.847,0.847,0.0,0.13219725446680672
ekf_random,0,29,0.907,0.907,0.0,0.12701514882294704
ekf_random,0,30,0.93,0.93,0.0,0.12326165340770248
ekf_random,0,31,0.844,0.844,0.0,0.13102589643179355
ekf_random,0,32,0.929,0.929,0.0,0.12367726987850058
ekf_random,0,33,0.944,0.944,0.0,0.12235773405969623
ekf_random,0,34,0.967,0.967,0.0,0.12102047284148773
ekf_random,0,35,0.869,0.869,0.0,0.12733582313782477
ekf_random,0,36,0.881,0.881,0.0,0.12554556482830423
ekf_random,0,37,0.87,0.87,0.0,0.12738411588929233
ekf_random,0,38,0.876,0.876,0.0,0.12605928695909147
ekf_random,0,39,0.837,0.837,0.0,0.13182423649924932
ekf_random,0,40,0.909,0.909,0.0,0.12417113911357766
ekf_random,0,41,0.97,0.97,0.0,0.12088271408131367
ekf_random,0,42,0.903,0.903,0.0,0.12487823040531564
ekf_random,0,43,1.0,1.0,0.0,0.2999998241901366
ekf_random,0,44,0.964,0.964,0.0,0.12158578708500782
ekf_random,0,45,0.926,0.926,0.0,0.1233281909681427
ekf_random,0,46,0.864,0.864,0.0,0.12839188542011054
ekf_random,0,47,0.96,0.96,0.0,0.12134538203266607
ekf_random,0,48,0.839,0.839,0.0,0.13173061155222104
ekf_random,0,49,1.0,1.0,0.0,0.29999965421370695
ekf_random,0,50,0.839,0.839,0.0,0.13167657645593384
ekf_random,0,51,0.921,0.921,0.0,0.12467494788569708
ekf_random,0,52,0.915,0.915,0.0,0.12367777373420706
ekf_random,0,53,0.837,0.837,0.0,0.13214879214703137
ekf_random,0,54,0.839,0.839,0.0,0.1316309670645365
ekf_random,0,55,0.92,0.92,0.0,0.12238886760157522
ekf_random,0,56,0.841,0.841,0.0,0.1341898851833488
ekf_random,0,57,0.923,0.923,0.0,0.12469106339217283
ekf_random,0,58,0.931,0.931,0.0,0.12295875948280385
ekf_random,0,59,0.837,0.837,0.0,0.13184528857735364
ekf_random,0,60,0.912,0.912,0.0,0.12347314197019088
ekf_random,0,61,0.894,0.894,0.0,0.12533996677806664
ekf_random,0,62,0.864,0.864,0.0,0.13019071332164744
ekf_random,0,63,0.839,0.839,0.0,0.13117604726827303
ekf_random,0,64,0.867,0.867,0.0,0.12945847384314438
ekf_random,0,65,0.907,0.907,0.0,0.12404282661816207
ekf_random,0,66,0.91,0.91,0.0,0.124055528265104
ekf_random,0,67,0.929,0.929,0.0,0.12292218056314508
ekf_random,0,68,0.867,0.867,0.0,0.12734455966771582
ekf_random,0,69,0.836,0.836,0.0,0.13212999463479816
ekf_random,0,70,0.887,0.887,0.0,0.12518429955714902
ekf_random,0,71,0.922,0.922,0.0,0.12448856723647908
ekf_random,0,72,0.894,0.894,0.0,0.12487448196627389
ekf_random,0,73,0.908,0.908,0.0,0.12375997302772186
ekf_random,0,74,0.871,0.871,0.0,0.12952504672289292
ekf_random,0,75,0.913,0.913,0.0,0.12441901249679731
ekf_random,0,76,0.913,0.913,0.0,0.12451081282929116
ekf_random,0,77,0.88,0.88,0.0,0.12574545890957492
ekf_random,0,78,0.888,0.888,0.0,0.12478332829011628
ekf_random,0,79,0.855,0.855,0.0,0.1291387961957039
ekf_random,0,80,0.962,0.962,0.0,0.121185143019811
ekf_random,0,81,0.938,0.938,0.0,0.12323954263880507
ekf_random,0,82,0.918,0.918,0.0,0.12252088753393915
ekf_random,0,83,0.957,0.957,0.0,0.12168576142717503
