network,split,model,scope,mae,rmse
cydbp,training,surrogate,all,0.06494497937753863,0.08922892162507573
cydbp,training,persistence,all,0.7834967529589938,1.1340090362265343
cydbp,training,surrogate,nodes,0.07228385708898724,0.09992255655115627
cydbp,training,persistence,nodes,0.8910932499664955,1.2330915790519246
cydbp,training,surrogate,links,0.05937450593390891,0.08016536192419549
cydbp,training,persistence,links,0.7018271227002876,1.0525936589002298
cydbp,training,surrogate,control_range,0.06827900794365976,0.09299464121207521
cydbp,validation,surrogate,all,0.5212894949497906,0.7433170931835551
cydbp,validation,persistence,all,0.6849510595241036,1.010068259299915
cydbp,validation,surrogate,nodes,0.5792098011524985,0.8103457473787548
cydbp,validation,persistence,nodes,0.7823195090325666,1.0973074494542085
cydbp,validation,surrogate,links,0.4773258890368922,0.6880947104901689
cydbp,validation,persistence,links,0.6110448870056313,0.9384520866988879
cydbp,validation,surrogate,control_range,0.5914273353989621,0.806957160936602
cydbp,test,surrogate,all,0.526554258370981,0.7554781223795471
cydbp,test,persistence,all,0.730355451516334,1.078553500349127
cydbp,test,surrogate,nodes,0.5946016013659728,0.8404522541806059
cydbp,test,persistence,nodes,0.826472690489286,1.1632943395395245
cydbp,test,surrogate,links,0.47490386549526425,0.6839679655662998
cydbp,test,persistence,links,0.6573989930187917,1.0094944038665592
cydbp,test,surrogate,control_range,0.7036901450116066,0.9464156684055363
