variant,training_seed,validation_seed,evaluation_seed,selected_training_timesteps,evaluation_steps,mean_action,std_action,min_action,max_action,cumulative_action,mean_reward,cumulative_reward,lower_violation_fraction,upper_violation_fraction,outside_range_fraction,temporal_lower_fraction,temporal_upper_fraction,temporal_any_fraction,cumulative_lower_violation,cumulative_upper_violation,cumulative_total_violation,mean_violation_per_node_value,minimum_node_chlorine,maximum_node_chlorine
ekf_random,0,100,200,8000,1000,0.3088529486423358,0.1643807524251332,0.0,0.903719961643219,308.85294864233583,-1.77778274754202,-1777.78274754202,0.53640625,0.0,0.53640625,0.992,0.0,0.992,1774.6942168182204,0.0,1774.6942168182204,0.05545919427556939,0.0,0.903719961643219
ekf_random,1,100,200,10000,1000,0.23466009806655347,0.2699035350911112,0.0,1.1976385116577148,234.66009806655347,-1.8020755661086878,-1802.0755661086878,0.41440625,0.0,0.41440625,0.894,0.0,0.894,1799.7289683198383,0.0,1799.7289683198383,0.05624153025999495,0.0,1.197638511657715
ekf_random,2,100,200,10000,1000,0.0,0.0,0.0,0.0,0.0,-9.600000381469727,-9600.000381469727,1.0,0.0,1.0,1.0,0.0,1.0,9600.00000000018,0.0,9600.00000000018,0.30000000000000565,0.0,0.0
ekf_random,3,100,200,18000,1000,0.9482536786422133,0.22656155640285783,0.10091757029294968,1.8508132696151733,948.2536786422133,-0.03518935138639063,-35.189351386390626,0.00665625,0.0,0.00665625,0.042,0.0,0.042,25.70681454392092,0.0,25.70681454392092,0.0008033379544975288,0.0,1.850813269615174
ekf_random,4,100,200,14000,1000,0.603767422541976,0.4728221488619339,0.0,2.3796515464782715,603.767422541976,-0.4742910206965171,-474.2910206965171,0.1088125,0.00234375,0.11115625,0.523,0.023,0.531,454.1486088037919,14.104736681163939,468.25334548495584,0.01463291704640487,0.0,2.379651546478272
ekf_centrality,0,100,200,18000,1000,0.14158050275407733,0.24239249376143998,0.0,1.3226782083511353,141.58050275407732,-0.8037264527117368,-803.7264527117368,0.19021875,0.0,0.19021875,0.444,0.0,0.444,802.3106493892782,0.0,802.3106493892782,0.025072207793414944,0.0,1.3226782083511355
ekf_centrality,1,100,200,4000,1000,0.405595736335963,0.11467242454062154,0.0,0.7929619550704956,405.595736335963,-0.29376531747635454,-293.76531747635454,0.15709375,0.0,0.15709375,0.634,0.0,0.634,289.7093592789866,0.0,289.7093592789866,0.009053417477468332,0.0,0.7929619550704958
ekf_centrality,2,100,200,20000,1000,0.01155526901036501,0.07467915188180121,0.0,1.1330819129943848,11.55526901036501,-3.8550085272132417,-3855.008527213242,0.60509375,0.0,0.60509375,0.748,0.0,0.748,3854.892974695226,0.0,3854.892974695226,0.12046540545922581,0.0,1.133081912994385
ekf_centrality,3,100,200,4000,1000,0.13866792383044957,0.10827296917942776,0.0,0.6240538358688354,138.66792383044958,-4.575785096496344,-4575.785096496344,0.9306875,0.0,0.9306875,1.0,0.0,1.0,4574.398423948948,0.0,4574.398423948948,0.14294995074840464,0.0,0.6240538358688354
ekf_centrality,4,100,200,12000,1000,0.5176823669932783,0.36857998173018625,0.0,1.6545283794403076,517.6823669932783,-0.5004941198255402,-500.4941198255401,0.1209375,0.0,0.1209375,0.481,0.0,0.481,495.31729550069304,0.0,495.31729550069304,0.015478665484396657,0.0,1.6545283794403083
oracle,0,100,200,20000,1000,2.0732027603387833,0.1946878395483958,1.3114315271377563,2.8402161598205566,2073.2027603387833,-3.772775882234797,-3772.775882234797,0.00146875,0.6884375,0.68990625,0.009,0.991,0.995,13.729997301234148,3738.313852639315,3752.043849940549,0.11725137031064216,0.0,2.840216159820557
oracle,1,100,200,2000,1000,0.4642630027830601,0.03962097649305309,0.31867578625679016,0.5617290735244751,464.2630027830601,-0.023671193858375773,-23.671193858375773,0.00228125,0.0,0.00228125,0.009,0.0,0.009,19.02856387712239,0.0,19.02856387712239,0.0005946426211600747,0.0,0.5617290735244751
oracle,2,100,200,16000,1000,0.22010965044610203,0.20930699836947902,0.0,0.9872280359268188,220.10965044610202,-2.0314078479470337,-2031.4078479470336,0.49909375,0.0,0.49909375,0.883,0.0,0.883,2029.2067530742959,0.0,2029.2067530742959,0.06341271103357174,7.789987091286016e-06,0.9872280359268188
oracle,3,100,200,20000,1000,1.7554138912558555,0.31748550846834495,0.5995877981185913,2.5225861072540283,1755.4138912558556,-0.8886807293202728,-888.6807293202728,0.00140625,0.21990625,0.2213125,0.005,0.621,0.624,12.56131669629859,858.5652750256681,871.1265917219667,0.02722270599131146,0.0,2.5225861072540283
oracle,4,100,200,10000,1000,0.9688401204943657,0.245515097859409,0.0,1.6574674844741821,968.8401204943657,-0.06008323743171059,-60.083237431710586,0.0104375,0.0,0.0104375,0.096,0.0,0.096,50.39483667823321,0.0,50.39483667823321,0.0015748386461947878,0.0,1.6574674844741821
