variant,training_seed,validation_seed,evaluation_seed,selected_training_timesteps,outside_range_fraction,lower_violation_fraction,upper_violation_fraction,mean_violation_per_node_value,cumulative_action,mean_reward
ekf_random,0,100,200,18000,0.21028125,0.20915625,0.001125,0.028697677452824612,306.9545977059752,-0.921395223405154
ekf_random,1,100,200,16000,0.3020625,0.3020625,0.0,0.045422527340617004,159.53639787621796,-1.4551162386317738
ekf_random,2,100,200,10000,0.01815625,0.0168125,0.00134375,0.002222169745253523,1082.172856701538,-0.08193116088723763
ekf_random,3,100,200,18000,0.20646875,0.20646875,0.0,0.028878852891223012,524.9549456778914,-0.9293728432158532
ekf_random,4,100,200,20000,0.194125,0.19090625,0.00321875,0.03411992211064289,441.93146915733814,-1.0962568223681302
ekf_centrality,0,100,200,6000,0.119,0.119,0.0,0.01247610837842863,568.0732085797936,-0.4049161995497998
ekf_centrality,1,100,200,8000,0.4983125,0.4983125,0.0,0.05040142739609043,298.2586729694158,-1.6158282652290072
ekf_centrality,2,100,200,20000,0.10084375,0.03521875,0.065625,0.017701903007106227,1157.4848144673742,-0.578035746929003
ekf_centrality,3,100,200,2000,0.50628125,0.50628125,0.0,0.053084175073342205,286.43175626080483,-1.7015579194037709
ekf_centrality,4,100,200,8000,0.79253125,0.79253125,0.0,0.13636618978926085,40.193424442783,-4.364120011596009
oracle,0,100,200,18000,0.13553125,0.13553125,0.0,0.015674197478891806,534.3704211683944,-0.5069180245405296
oracle,1,100,200,18000,0.1334375,0.1334375,0.0,0.017638082448502547,282.8976877257228,-0.5672476140619256
oracle,2,100,200,20000,0.14303125,0.14303125,0.0,0.021460515858628102,22.46607025526464,-0.6869611685622949
oracle,3,100,200,20000,0.07459375,0.0409375,0.03365625,0.011988418718079406,851.8193274792284,-0.39214759157474327
oracle,4,100,200,18000,0.10175,0.0794375,0.0223125,0.014855290843878056,817.0439429227263,-0.48353974640736125
