variant,training_seed,node_index,outside_range_fraction,lower_violation_fraction,upper_violation_fraction,mean_violation
ekf_random,0,0,0.22,0.218,0.002,0.03226644222453476
ekf_random,0,1,0.221,0.219,0.002,0.03231275637085857
ekf_random,0,2,0.222,0.22,0.002,0.03235820824943226
ekf_random,0,3,0.222,0.22,0.002,0.03240462468209493
ekf_random,0,4,0.183,0.183,0.0,0.021581969377145502
ekf_random,0,5,0.185,0.185,0.0,0.024006469067362618
ekf_random,0,6,0.222,0.22,0.002,0.03214924141050684
ekf_random,0,7,0.221,0.219,0.002,0.029357501524340843
ekf_random,0,8,0.174,0.174,0.0,0.022687758283391948
ekf_random,0,9,0.224,0.223,0.001,0.03110844681124035
ekf_random,0,10,0.201,0.2,0.001,0.02544278460352102
ekf_random,0,11,0.214,0.214,0.0,0.02883682033791877
ekf_random,0,12,0.184,0.184,0.0,0.0242666797528996
ekf_random,0,13,0.217,0.215,0.002,0.030225009993964908
ekf_random,0,14,0.206,0.206,0.0,0.02661209899697429
ekf_random,0,15,0.189,0.189,0.0,0.022537955235732023
ekf_random,0,16,0.222,0.22,0.002,0.032379756435963906
ekf_random,0,17,0.221,0.219,0.002,0.03234228445657673
ekf_random,0,18,0.222,0.22,0.002,0.03100783039468678
ekf_random,0,19,0.184,0.183,0.001,0.02387490519538769
ekf_random,0,20,0.207,0.205,0.002,0.027593339748516667
ekf_random,0,21,0.196,0.195,0.001,0.024234002645186176
ekf_random,0,22,0.224,0.222,0.002,0.03327591795284593
ekf_random,0,23,0.209,0.208,0.001,0.02799124720864967
ekf_random,0,24,0.224,0.223,0.001,0.03186758129553559
ekf_random,0,25,0.197,0.197,0.0,0.02370141038656906
ekf_random,0,26,0.224,0.222,0.002,0.032362521562316615
ekf_random,0,27,0.221,0.22,0.001,0.030748526400146126
ekf_random,0,28,0.214,0.214,0.0,0.028561920937649633
ekf_random,0,29,0.222,0.222,0.0,0.028273230132298925
ekf_random,0,30,0.217,0.216,0.001,0.02969323404682878
ekf_random,0,31,0.22,0.218,0.002,0.032263202769309385
ekf_random,1,0,0.308,0.308,0.0,0.04604534152954424
ekf_random,1,1,0.308,0.308,0.0,0.04611787519766946
ekf_random,1,2,0.308,0.308,0.0,0.04618927774050688
ekf_random,1,3,0.308,0.308,0.0,0.04628186561637393
ekf_random,1,4,0.289,0.289,0.0,0.041839379954007216
ekf_random,1,5,0.289,0.289,0.0,0.042262392998579604
ekf_random,1,6,0.309,0.309,0.0,0.04660572028652215
ekf_random,1,7,0.308,0.308,0.0,0.04599933949909532
ekf_random,1,8,0.294,0.294,0.0,0.04264037213292436
ekf_random,1,9,0.305,0.305,0.0,0.04634598269822447
ekf_random,1,10,0.297,0.297,0.0,0.04501371632596088
ekf_random,1,11,0.294,0.294,0.0,0.04525455974497039
ekf_random,1,12,0.294,0.294,0.0,0.04292395411991552
ekf_random,1,13,0.307,0.307,0.0,0.04668095560677285
ekf_random,1,14,0.298,0.298,0.0,0.04451628416036767
ekf_random,1,15,0.29,0.29,0.0,0.04222679407441762
ekf_random,1,16,0.308,0.308,0.0,0.04623858746173671
ekf_random,1,17,0.308,0.308,0.0,0.0461640256229687
ekf_random,1,18,0.308,0.308,0.0,0.04560424381945469
ekf_random,1,19,0.284,0.284,0.0,0.042561861051758916
