network,split,model,scope,mae,rmse
hanoi,validation,surrogate,all,0.9429167971100648,1.271354866434368
hanoi,validation,persistence,all,1.2751836869222013,1.6472215975685767
hanoi,validation,surrogate,nodes,0.997500740676189,1.3317813734401684
hanoi,validation,persistence,nodes,1.3773988933399206,1.746320580139346
hanoi,validation,surrogate,links,0.8915436737537127,1.2117333101833585
hanoi,validation,persistence,links,1.178981139705524,1.5481681323325087
hanoi,validation,surrogate,control_range,0.9357181361080613,1.2712476155692578
hanoi,test,surrogate,all,0.9839690543883215,1.3313047942968168
hanoi,test,persistence,all,1.2896707883223226,1.657228915124749
hanoi,test,surrogate,nodes,1.0412823747931945,1.3985824141584982
hanoi,test,persistence,nodes,1.3738357668267058,1.7361655016076063
hanoi,test,surrogate,links,0.9300271057719701,1.2647196089714943
hanoi,test,persistence,links,1.2104566909064325,1.579335730831627
hanoi,test,surrogate,control_range,0.9993940509361972,1.3805336787529277
