variant,training_seed,validation_seed,evaluation_seed,selected_training_timesteps,outside_range_fraction,lower_violation_fraction,upper_violation_fraction,mean_violation_per_node_value,cumulative_action,mean_reward
ekf_random,0,100,200,10000,0.8241818181818181,0.8241818181818181,0.0,0.15962104768555568,14.078995464369655,-1.7559723163843155
ekf_random,1,100,200,12000,0.9794545454545455,0.9794545454545455,0.0,0.2617720485968467,7.275231997482479,-2.879565290212631
ekf_random,2,100,200,20000,0.29363636363636364,0.2918181818181818,0.0018181818181818182,0.04004047795527556,264.4255843088031,-0.4430895134359598
ekf_random,3,100,200,16000,0.42454545454545456,0.42172727272727273,0.002818181818181818,0.05916139733480064,386.0730937924236,-0.654636101603508
ekf_random,4,100,200,16000,0.3960909090909091,0.37872727272727275,0.017363636363636362,0.05743149065002124,687.3831997918896,-0.6386202290877699
ekf_centrality,0,100,200,16000,0.9791818181818182,0.9791818181818182,0.0,0.22062841968926433,15.157039800658822,-2.42706418633461
ekf_centrality,1,100,200,18000,0.26890909090909093,0.24618181818181817,0.022727272727272728,0.031902507713826724,470.5419843541458,-0.3556330050313845
ekf_centrality,2,100,200,16000,0.6411818181818182,0.6411818181818182,0.0,0.0951641563597822,529.0888882800937,-1.0520966083407401
ekf_centrality,3,100,200,16000,0.46036363636363636,0.4601818181818182,0.0001818181818181818,0.0633018796290296,275.5904509257525,-0.6990765807330608
ekf_centrality,4,100,200,18000,0.33236363636363636,0.2899090909090909,0.04245454545454545,0.04928483918126594,725.4432799424976,-0.5493876635171473
oracle,0,100,200,20000,0.44,0.44,0.0,0.061546108606563815,191.47327199578285,-0.6789219266921281
oracle,1,100,200,20000,0.26345454545454544,0.2431818181818182,0.020272727272727272,0.03077132463588012,362.47444706223905,-0.34210931562073527
oracle,2,100,200,14000,0.35263636363636364,0.32881818181818184,0.023818181818181818,0.048826332054147964,366.0168671179563,-0.5407498209103941
oracle,3,100,200,16000,0.2790909090909091,0.27754545454545454,0.0015454545454545454,0.03865167452311956,826.2177044861019,-0.43343059659749267
oracle,4,100,200,14000,0.34136363636363637,0.341,0.0003636363636363636,0.04692454005252527,240.10205663461238,-0.5185709613263607
