variant,training_seed,node_index,outside_range_fraction,lower_violation_fraction,upper_violation_fraction,mean_violation
ekf_random,0,0,0.203,0.203,0.0,0.030637837702055613
ekf_random,0,1,0.781,0.781,0.0,0.12879901824861226
ekf_random,0,2,0.945,0.945,0.0,0.13447353018553482
ekf_random,0,3,0.999,0.999,0.0,0.21091761580868892
ekf_random,0,4,0.964,0.964,0.0,0.15619077931039488
ekf_random,0,5,0.991,0.991,0.0,0.18413386838487414
ekf_random,0,6,1.0,1.0,0.0,0.2597434173369879
ekf_random,0,7,0.991,0.991,0.0,0.20757079357364644
ekf_random,0,8,1.0,1.0,0.0,0.26584749556240217
ekf_random,0,9,0.192,0.192,0.0,0.02880554695278415
ekf_random,0,10,1.0,1.0,0.0,0.14871162147512937
ekf_random,1,0,0.909,0.909,0.0,0.22202161846611568
ekf_random,1,1,0.982,0.982,0.0,0.2561001926510663
ekf_random,1,2,0.992,0.992,0.0,0.2563988488357262
ekf_random,1,3,1.0,1.0,0.0,0.27662243798942404
ekf_random,1,4,0.994,0.994,0.0,0.26408735871292144
ekf_random,1,5,0.998,0.998,0.0,0.26918743618432783
ekf_random,1,6,1.0,1.0,0.0,0.28910483956198113
ekf_random,1,7,0.998,0.998,0.0,0.27689231944536796
ekf_random,1,8,1.0,1.0,0.0,0.2906190792172763
ekf_random,1,9,0.901,0.901,0.0,0.2178127280522165
ekf_random,1,10,1.0,1.0,0.0,0.2606456754488945
ekf_random,2,0,0.017,0.007,0.01,0.0022678211316466317
ekf_random,2,1,0.129,0.129,0.0,0.005664234244589675
ekf_random,2,2,0.036,0.036,0.0,0.004917984534418605
ekf_random,2,3,0.269,0.269,0.0,0.02359806699109113
ekf_random,2,4,0.16,0.16,0.0,0.015956119849310463
ekf_random,2,5,0.161,0.161,0.0,0.019351972473933516
ekf_random,2,6,0.99,0.99,0.0,0.1509666679755037
ekf_random,2,7,0.416,0.416,0.0,0.040720651241259606
ekf_random,2,8,1.0,1.0,0.0,0.1700868295196105
ekf_random,2,9,0.017,0.007,0.01,0.002267821131646633
ekf_random,2,10,0.035,0.035,0.0,0.004647088415021001
ekf_random,3,0,0.071,0.062,0.009,0.006458004402738576
ekf_random,3,1,0.414,0.414,0.0,0.032288305547781164
ekf_random,3,2,0.09,0.09,0.0,0.010773151597493704
ekf_random,3,3,0.716,0.716,0.0,0.05056390108018927
ekf_random,3,4,0.354,0.354,0.0,0.0410016061787658
ekf_random,3,5,0.262,0.262,0.0,0.031027697174001896
ekf_random,3,6,0.993,0.993,0.0,0.18173497102788172
ekf_random,3,7,0.628,0.628,0.0,0.08215861989664504
