network,split,model,scope,mae,rmse
net1,training,surrogate,all,0.20776987098644709,0.4849180023800209
net1,training,persistence,all,0.21327684830727314,0.5662737437971006
net1,training,surrogate,nodes,0.23746111250635116,0.523354122172301
net1,training,persistence,nodes,0.24163045600320954,0.6226011902842864
net1,training,surrogate,links,0.18264651277729751,0.449837265244237
net1,training,persistence,links,0.18928533410301926,0.513811414548037
net1,training,surrogate,control_range,0.17509049557697873,0.4117920963118172
net1,validation,surrogate,all,0.21177410141824088,0.5192406020040908
net1,validation,persistence,all,0.17127810816541972,0.49300409009964224
net1,validation,surrogate,nodes,0.24569863451918544,0.5660162011021992
net1,validation,persistence,nodes,0.19387283948356024,0.5423286046806096
net1,validation,surrogate,links,0.18306872725590317,0.47608511904247025
net1,validation,persistence,links,0.15215948935776236,0.44703719674149656
net1,validation,surrogate,control_range,0.16496448053907614,0.3862704246832689
net1,test,surrogate,all,0.24162783585884295,0.555107115360399
net1,test,persistence,all,0.24956056020322503,0.5878430381186707
net1,test,surrogate,nodes,0.277475677654772,0.6019638437798955
net1,test,persistence,nodes,0.2763669134531549,0.6455848649762798
net1,test,surrogate,links,0.211295046646903,0.5121214299489849
net1,test,persistence,links,0.2268782612994383,0.5341311062333839
net1,test,surrogate,control_range,0.2044484310860507,0.49546491773430446
